#FILE	SEQUENCE	PRODUCT	START	END	STRAND
A412	679	aac(3)-IId	10588	11448	-
A414	811	aac(3)-IId	54989	55849	-
A415	677	aac(3)-IId	514	1374	+
A416	860	aac(3)-IId	6334	7194	+
A417	949	aac(3)-IId	36	896	+
A42	1496	aac(3)-IId	102	962	+
A421	561	aac(3)-IId	1045	1905	+
A423	1276	aac(3)-IId	647	1507	+
A424	618	aac(3)-IId	3243	4103	-
A425	767	aac(3)-IId	2635	3495	+
A426	524	aac(3)-IId	364	1224	+
A427	1078	aac(3)-IId	3796	4656	-
A43	565	aac(3)-IId	122	982	+
A430	766	aac(3)-IId	4866	5726	-
A431	7806	aac(3)-IId	6538	7398	-
A432	1155	aac(3)-IId	3451	4311	-
A440	907	aac(3)-IId	13839	14699	-
A443	788	aac(3)-IId	122	982	+
A446	689	aac(3)-IId	639	1499	+
A449	800	aac(3)-IId	3088	3948	-
A450	644	aac(3)-IId	3395	4255	-
A452	685	aac(3)-IId	3451	4311	-
A453	467	aac(3)-IId	1114	1974	-
A456	780	aac(3)-IId	1114	1974	-
A457	585	aac(3)-IId	3089	3949	-
A459	794	aac(3)-IId	1	798	+
A461	609	aac(3)-IId	121	981	+
A462	717	aac(3)-IId	3088	3948	-
A463	740	aac(3)-IId	10329	11189	-
A465	735	aac(3)-IId	1399	2259	+
A468	533	aac(3)-IId	120	980	+
A469	746	aac(3)-IId	937	1797	-
A47	512	aac(3)-IId	3089	3949	-
A470	1212	aac(3)-IId	1251	2111	+
A473	746	aac(3)-IId	1045	1905	+
A48	910	aac(3)-IId	7283	8143	-
A484	683	aac(3)-IId	1849	2709	-
A485	445	aac(3)-IId	4619	5479	+
A488	968	aac(3)-IId	3075	3935	-
A49	811	aac(3)-IId	3430	4290	-
A493	843	aac(3)-IId	1384	2244	-
A495	557	aac(3)-IId	1822	2682	+
A496	814	aac(3)-IId	1027	1887	+
A499	645	aac(3)-IId	1522	2382	-
A5	482	aac(3)-IId	6463	7323	-
A502	627	aac(3)-IId	1210	2070	+
A506	758	aac(3)-IId	1221	2081	+
A52	918	aac(3)-IId	355	1215	+
A53	593	aac(3)-IId	6921	7781	-
A57	1025	aac(3)-IId	46051	46911	+
A58	1192	aac(3)-IId	639	1499	+
A6	731	aac(3)-IId	1160	2020	-
A60	981	aac(3)-IId	170	1030	+
A63	988	aac(3)-IId	84622	85482	-
A64	461	aac(3)-IId	561	1421	+
A65	789	aac(3)-IId	1045	1905	+
A68	999	aac(3)-IId	3451	4311	-
A69	914	aac(3)-IId	1343	2203	+
A7	1158	aac(3)-IId	5227	6087	-
A70	1045	aac(3)-IId	167778	168638	-
A72	671	aac(3)-IId	759	1619	+
A73	707	aac(3)-IId	1399	2259	+
A74	720	aac(3)-IId	864	1724	+
A76	497	aac(3)-IId	100	960	+
A78	1025	aac(3)-IId	6538	7398	-
A82	739	aac(3)-IId	1399	2259	+
A83	853	aac(3)-IId	121	981	+
A89	612	aac(3)-IId	5785	6645	-
A93	597	aac(3)-IId	6452	7312	-
A95	662	aac(3)-IId	843	1703	+
A98	1469	aac(3)-IId	6841	7701	-
A151	899	aac(3)-IIe	502	1303	+
A188	1638	aac(3)-IIe	120	921	+
A119	2300	aac(3)-IVa	4895	5679	-
A128	1277	aac(3)-IVa	509	1293	+
A130	855	aac(3)-IVa	4039	4823	-
A132	924	aac(3)-IVa	429	1213	+
A141	562	aac(3)-IVa	509	1293	+
A150	658	aac(3)-IVa	5116	5900	-
A158	622	aac(3)-IVa	871	1655	+
A16	930	aac(3)-IVa	8305	9089	-
A167	659	aac(3)-IVa	8305	9089	-
A170	1073	aac(3)-IVa	8305	9089	-
A177	588	aac(3)-IVa	509	1293	+
A181	888	aac(3)-IVa	4695	5479	-
A187	1458	aac(3)-IVa	663	1447	+
A212	525	aac(3)-IVa	509	1293	+
A213	1137	aac(3)-IVa	4039	4823	-
A219	896	aac(3)-IVa	5279	6063	-
A222	1028	aac(3)-IVa	125	909	+
A225	1395	aac(3)-IVa	509	1293	+
A230	1407	aac(3)-IVa	509	1293	+
A234	779	aac(3)-IVa	509	1293	+
A239	1302	aac(3)-IVa	509	1293	+
A24	623	aac(3)-IVa	509	1293	+
A240	646	aac(3)-IVa	4695	5479	-
A246	1182	aac(3)-IVa	429	1213	+
A251	456	aac(3)-IVa	509	1293	+
A253	589	aac(3)-IVa	6941	7725	-
A258	1816	aac(3)-IVa	8180	8964	-
A26	630	aac(3)-IVa	509	1293	+
A267	809	aac(3)-IVa	8305	9089	-
A276	598	aac(3)-IVa	5116	5900	-
A285	1466	aac(3)-IVa	509	1293	+
A288	632	aac(3)-IVa	8180	8964	-
A297	585	aac(3)-IVa	136	920	+
A301	858	aac(3)-IVa	509	1293	+
A306	630	aac(3)-IVa	5727	6511	-
A307	836	aac(3)-IVa	833	1617	+
A309	470	aac(3)-IVa	509	1293	+
A312	606	aac(3)-IVa	5116	5900	-
A313	706	aac(3)-IVa	417	1201	+
A319	1260	aac(3)-IVa	871	1655	+
A32	1106	aac(3)-IVa	136	920	+
A320	752	aac(3)-IVa	509	1293	+
A323	739	aac(3)-IVa	509	1293	+
A327	854	aac(3)-IVa	5104	5888	-
A329	500	aac(3)-IVa	509	1293	+
A33	723	aac(3)-IVa	509	1293	+
A330	1136	aac(3)-IVa	509	1293	+
A334	1136	aac(3)-IVa	8305	9089	-
A336	905	aac(3)-IVa	8180	8964	-
A343	975	aac(3)-IVa	509	1293	+
A357	813	aac(3)-IVa	4039	4823	-
A363	995	aac(3)-IVa	6759	7543	-
A379	1289	aac(3)-IVa	509	1293	+
A383	626	aac(3)-IVa	4695	5479	-
A394	550	aac(3)-IVa	509	1293	+
A395	602	aac(3)-IVa	8305	9089	-
A397	1089	aac(3)-IVa	509	1293	+
A401	549	aac(3)-IVa	8180	8964	-
A412	770	aac(3)-IVa	509	1293	+
A415	775	aac(3)-IVa	509	1293	+
A418	678	aac(3)-IVa	8305	9089	-
A431	7620	aac(3)-IVa	108	892	+
A438	620	aac(3)-IVa	871	1655	+
A439	802	aac(3)-IVa	663	1447	+
A44	767	aac(3)-IVa	509	1293	+
A444	2415	aac(3)-IVa	8305	9089	-
A45	850	aac(3)-IVa	135	919	+
A454	1255	aac(3)-IVa	509	1293	+
A471	975	aac(3)-IVa	13197	13981	-
A475	937	aac(3)-IVa	433	1217	-
A482	785	aac(3)-IVa	833	1617	+
A486	1405	aac(3)-IVa	509	1293	+
A487	886	aac(3)-IVa	8305	9089	-
A489	1402	aac(3)-IVa	7860	8644	-
A492	1120	aac(3)-IVa	132	916	+
A500	635	aac(3)-IVa	509	1293	+
A501	739	aac(3)-IVa	8257	9041	-
A504	938	aac(3)-IVa	871	1655	+
A505	1294	aac(3)-IVa	117	901	-
A67	1086	aac(3)-IVa	8305	9089	-
A75	1138	aac(3)-IVa	6941	7725	-
A8	630	aac(3)-IVa	509	1293	+
A9	1065	aac(3)-IVa	8305	9089	-
A90	1099	aac(3)-IVa	114	898	+
A92	674	aac(3)-IVa	509	1293	+
A122	1104	aac(3)-VIa	5274	6176	-
A205	1065	aac(3)-VIa	1172	2074	+
A351	652	aac(3)-VIa	5636	6538	-
A447	782	aac(3)-VIa	818	1720	+
A448	831	aac(3)-VIa	818	1720	+
A467	853	aac(3)-VIa	1048	1950	+
A55	572	aac(3)-VIa	1047	1949	+
A66	577	aac(3)-VIa	5274	6176	-
A101	511	aac(6')-Ib-cr	2361	2960	-
A11	418	aac(6')-Ib-cr	113	712	+
A113	410	aac(6')-Ib-cr	2174	2773	+
A128	1392	aac(6')-Ib-cr	4068	4667	-
A130	866	aac(6')-Ib-cr	401	1000	+
A16	896	aac(6')-Ib-cr	4422	5021	-
A170	1016	aac(6')-Ib-cr	133	732	+
A181	907	aac(6')-Ib-cr	4068	4667	-
A190	1228	aac(6')-Ib-cr	2361	2960	-
A197	1699	aac(6')-Ib-cr	9837	10436	-
A198	1399	aac(6')-Ib-cr	10062	10661	-
A208	913	aac(6')-Ib-cr	1895	2494	-
A22	765	aac(6')-Ib-cr	4422	5021	-
A234	782	aac(6')-Ib-cr	2466	3065	-
A240	702	aac(6')-Ib-cr	7769	8368	-
A26	638	aac(6')-Ib-cr	253	852	+
A265	606	aac(6')-Ib-cr	96	695	+
A266	1293	aac(6')-Ib-cr	4068	4667	-
A271	967	aac(6')-Ib-cr	11011	11610	-
A30	567	aac(6')-Ib-cr	75	674	+
A301	906	aac(6')-Ib-cr	3977	4576	-
A313	695	aac(6')-Ib-cr	4068	4667	-
A314	739	aac(6')-Ib-cr	2385	2984	-
A325	1285	aac(6')-Ib-cr	1	580	+
A325	1285	aac(6')-Ib-cr	1654	2144	+
A332	1246	aac(6')-Ib-cr	3142	3741	-
A340	953	aac(6')-Ib-cr	3162	3761	-
A343	1054	aac(6')-Ib-cr	401	1000	+
A366	656	aac(6')-Ib-cr	553	1152	-
A379	1197	aac(6')-Ib-cr	401	1000	+
A383	676	aac(6')-Ib-cr	4422	5021	-
A394	608	aac(6')-Ib-cr	2717	3316	-
A395	555	aac(6')-Ib-cr	2466	3065	-
A409	861	aac(6')-Ib-cr	86	685	+
A41	83	aac(6')-Ib-cr	269	868	-
A414	807	aac(6')-Ib-cr	1361	1960	+
A424	669	aac(6')-Ib-cr	1626	2225	-
A427	892	aac(6')-Ib-cr	96	695	+
A431	7619	aac(6')-Ib-cr	2707	3306	-
A438	614	aac(6')-Ib-cr	867	1466	+
A44	864	aac(6')-Ib-cr	7837	8436	+
A444	2311	aac(6')-Ib-cr	4068	4667	-
A449	702	aac(6')-Ib-cr	75	674	+
A454	1332	aac(6')-Ib-cr	401	1000	+
A486	1490	aac(6')-Ib-cr	11434	12032	-
A487	854	aac(6')-Ib-cr	401	1000	+
A488	1093	aac(6')-Ib-cr	96	695	+
A490	674	aac(6')-Ib-cr	3162	3761	-
A500	641	aac(6')-Ib-cr	4422	5021	-
A504	941	aac(6')-Ib-cr	867	1466	+
A67	1090	aac(6')-Ib-cr	4624	5223	-
A7	1168	aac(6')-Ib-cr	929	1528	+
A8	675	aac(6')-Ib-cr	3977	4576	-
A81	480	aac(6')-Ib-cr	2207	2806	-
A87	82	aac(6')-Ib-cr	133	732	+
A88	43	aac(6')-Ib-cr	1626	2225	-
A9	1030	aac(6')-Ib-cr	401	1000	+
A90	1030	aac(6')-Ib-cr	4068	4667	-
A92	61	aac(6')-Ib-cr	133	732	+
A294	157	aac(6')-IIc	107	688	+
A114	332	aac(6')-Il	137	595	+
A137	850	aac(6')-Il	8425	8883	-
A164	785	aac(6')-Il	7679	8137	-
A3	774	aac(6')-Il	15709	16167	-
A43	278	aac(6')-Il	137	595	+
A47	265	aac(6')-Il	137	595	+
A215	1036	aadA1	1788	2441	-
A263	787	aadA1	4813	5466	-
A323	733	aadA1	2430	3083	-
A325	1381	aadA1	1	781	+
A333	378	aadA1	119	772	-
A351	652	aadA1	6702	7355	-
A351	709	aadA1	1	654	+
A374	2422	aadA1	1	781	+
A447	781	aadA1	1	654	+
A447	782	aadA1	1	654	+
A448	790	aadA1	5314	5967	-
A448	831	aadA1	1	654	+
A45	932	aadA1	127257	127910	+
A450	646	aadA1	5314	5967	-
A462	485	aadA1	1	654	+
A496	854	aadA1	1	654	+
A113	410	aadA16	4109	4954	+
A158	627	aadA16	8403	9248	-
A197	1699	aadA16	7656	8501	-
A198	1399	aadA16	7881	8726	-
A271	967	aadA16	8830	9675	-
A30	567	aadA16	2010	2855	+
A303	608	aadA16	256	1101	-
A314	739	aadA16	3812	4657	-
A414	807	aadA16	3296	4141	+
A449	702	aadA16	2010	2855	+
A493	843	aadA16	7834	8679	+
A506	754	aadA16	2992	3837	+
A81	480	aadA16	86	871	-
A291	651	aadA17	1	784	+
A291	652	aadA17	1	784	+
A291	653	aadA17	58	849	-
A100	665	aadA2	58	859	-
A100	666	aadA2	58	859	-
A100	722	aadA2	6983	7766	-
A104	1110	aadA2	1417	2218	+
A107	782	aadA2	6878	7661	-
A110	632	aadA2	1599	2400	-
A119	2274	aadA2	7026	7809	-
A12	890	aadA2	2257	3058	+
A121	712	aadA2	7452	8253	-
A124	776	aadA2	58495	59296	-
A126	1011	aadA2	1722	2523	+
A127	557	aadA2	11620	12421	-
A128	1359	aadA2	7026	7809	-
A129	511	aadA2	2257	3058	+
A130	858	aadA2	4003	4804	-
A130	880	aadA2	4882	5683	+
A130	962	aadA2	2598	3399	+
A132	883	aadA2	7026	7809	-
A134	1041	aadA2	8247	9048	-
A141	566	aadA2	1741	2542	-
A143	690	aadA2	2220	3021	+
A146	738	aadA2	1906	2707	+
A148	5980	aadA2	1	784	+
A148	6021	aadA2	1838	2639	+
A155	750	aadA2	1209	2010	-
A158	610	aadA2	2978	3779	+
A159	1066	aadA2	1650	2451	-
A160	492	aadA2	1916	2717	+
A164	788	aadA2	1685	2486	-
A168	746	aadA2	7026	7809	-
A170	1017	aadA2	1	784	+
A172	775	aadA2	3460	4261	+
A178	603	aadA2	11755	12556	-
A18	855	aadA2	2463	3264	-
A183	3225	aadA2	1289	2090	-
A187	1475	aadA2	3046	3847	-
A189	820	aadA2	1	784	+
A192	771	aadA2	2332	3133	+
A193	1308	aadA2	7105	7906	-
A195	1061	aadA2	1289	2090	-
A201	779	aadA2	1979	2780	+
A202	803	aadA2	1599	2400	-
A213	1154	aadA2	2288	3089	+
A214	1119	aadA2	314	1115	-
A219	815	aadA2	1722	2523	+
A222	1066	aadA2	4013	4814	-
A222	1082	aadA2	7428	8229	-
A222	1084	aadA2	7229	8030	-
A225	545	aadA2	6737	7520	-
A226	768	aadA2	1341	2142	+
A227	846	aadA2	2620	3421	+
A228	898	aadA2	3460	4261	+
A237	1103	aadA2	6623	7424	+
A239	1316	aadA2	1	784	+
A242	1154	aadA2	8575	9376	+
A247	692	aadA2	2586	3387	+
A250	624	aadA2	2881	3682	+
A251	500	aadA2	7026	7809	-
A253	554	aadA2	1	784	+
A254	1573	aadA2	1548	2360	+
A256	542	aadA2	86859	87660	+
A258	1830	aadA2	1	784	+
A263	841	aadA2	1722	2523	+
A267	781	aadA2	7026	7809	-
A268	808	aadA2	2354	3155	-
A27	934	aadA2	1651	2452	-
A270	1165	aadA2	8220	9021	-
A273	797	aadA2	37709	38510	+
A274	741	aadA2	18018	18819	-
A278	973	aadA2	2838	3639	+
A283	845	aadA2	6349	7150	+
A284	912	aadA2	6282	7083	+
A285	1421	aadA2	7595	8396	+
A29	1037	aadA2	155	956	-
A29	1038	aadA2	1	784	+
A292	843	aadA2	3296	4097	+
A294	938	aadA2	7197	7998	-
A295	807	aadA2	8351	9152	-
A308	838	aadA2	3380	4181	+
A309	476	aadA2	7026	7809	-
A311	805	aadA2	7719	8520	-
A313	685	aadA2	2357	3158	-
A315	575	aadA2	6984	7785	-
A317	13633	aadA2	1740	2541	-
A318	13341	aadA2	1722	2523	+
A319	1153	aadA2	2257	3058	+
A320	820	aadA2	4088	4889	+
A323	813	aadA2	1725	2526	+
A324	650	aadA2	1	708	+
A326	762	aadA2	3460	4261	+
A329	527	aadA2	2620	3421	+
A329	528	aadA2	3341	4142	+
A33	644	aadA2	7026	7827	-
A330	1257	aadA2	1	784	+
A332	1330	aadA2	1552	2353	+
A332	1330	aadA2	4872	5655	+
A334	1185	aadA2	1	784	+
A338	755	aadA2	1209	2010	-
A340	996	aadA2	48	849	-
A340	997	aadA2	1	784	+
A341	334	aadA2	9262	10063	-
A342	744	aadA2	2130	2931	+
A343	1055	aadA2	7026	7809	-
A349	767	aadA2	2830	3631	+
A35	644	aadA2	4113	4914	+
A352	558	aadA2	1599	2400	-
A355	798	aadA2	2369	3170	+
A356	855	aadA2	8257	9058	-
A357	873	aadA2	1	784	+
A358	950	aadA2	150167	150968	+
A362	750	aadA2	7919	8720	-
A363	949	aadA2	1	784	+
A364	566	aadA2	1740	2541	-
A366	692	aadA2	1722	2523	+
A37	654	aadA2	5861	6662	-
A37	686	aadA2	17071	17872	+
A37	691	aadA2	8450	9251	-
A371	869	aadA2	2130	2931	+
A372	790	aadA2	1722	2523	+
A372	794	aadA2	1	784	+
A373	735	aadA2	7836	8637	-
A374	2362	aadA2	1608	2409	-
A376	792	aadA2	16058	16859	-
A381	752	aadA2	2136	2937	+
A384	730	aadA2	2130	2931	+
A388	1093	aadA2	2828	3629	+
A390	544	aadA2	7208	8009	-
A394	595	aadA2	3404	4205	+
A395	580	aadA2	2469	3270	-
A397	973	aadA2	1	784	+
A40	1198	aadA2	7719	8520	-
A407	620	aadA2	5314	6097	-
A407	621	aadA2	2354	3137	-
A407	651	aadA2	2136	2937	+
A407	675	aadA2	64	865	-
A412	729	aadA2	1379	2180	+
A415	716	aadA2	2336	3137	-
A416	822	aadA2	2956	3757	+
A417	993	aadA2	1689	2490	+
A417	1022	aadA2	1	784	+
A417	1023	aadA2	64	865	-
A418	648	aadA2	7413	8214	-
A423	1267	aadA2	119	920	-
A424	636	aadA2	2413	3214	+
A426	281	aadA2	165	892	-
A427	1062	aadA2	2443	3244	+
A430	748	aadA2	2257	3058	+
A431	7751	aadA2	8148	8865	-
A432	1147	aadA2	2354	3155	-
A436	751	aadA2	7452	8253	-
A438	615	aadA2	7492	8275	-
A439	881	aadA2	8257	9058	-
A440	907	aadA2	2046	2847	+
A440	982	aadA2	8247	9048	-
A441	474	aadA2	2258	3059	-
A442	758	aadA2	4013	4796	-
A442	817	aadA2	59	860	-
A442	818	aadA2	1	784	+
A444	2304	aadA2	1	784	+
A447	868	aadA2	2469	3270	-
A448	871	aadA2	2469	3270	-
A45	906	aadA2	2260	3061	+
A450	614	aadA2	2136	2937	+
A454	1353	aadA2	1	784	+
A455	882	aadA2	2145	2946	+
A458	1026	aadA2	8257	9058	-
A459	747	aadA2	2354	3155	-
A465	746	aadA2	5861	6662	-
A468	526	aadA2	5861	6662	-
A470	1242	aadA2	8348	9149	-
A472	468	aadA2	611	1412	-
A473	774	aadA2	2061	2862	+
A475	469	aadA2	165	892	-
A481	3162	aadA2	5813	6614	+
A486	1426	aadA2	2469	3252	-
A488	1082	aadA2	6985	7786	-
A489	1412	aadA2	1	784	+
A490	602	aadA2	8257	9058	-
A496	855	aadA2	2336	3137	-
A501	87	aadA2	1	728	+
A504	914	aadA2	1	784	+
A60	1003	aadA2	5861	6662	-
A60	1079	aadA2	1369	2170	-
A60	1080	aadA2	2257	3058	+
A68	1068	aadA2	6623	7424	+
A69	933	aadA2	1608	2409	-
A7	1181	aadA2	8295	9096	-
A70	1059	aadA2	6623	7424	+
A73	660	aadA2	3460	4261	+
A76	1695	aadA2	16414	17215	-
A79	759	aadA2	2203	3004	+
A82	707	aadA2	1289	2090	-
A83	977	aadA2	1346	2158	-
A84	861	aadA2	1	784	+
A85	811	aadA2	2621	3422	+
A86	826	aadA2	8575	9376	+
A92	630	aadA2	2469	3270	-
A94	862	aadA2	1644	2445	+
A94	872	aadA2	1	802	+
A94	881	aadA2	1674	2475	-
A95	625	aadA2	1	784	+
A98	1471	aadA2	3380	4181	+
A99	692	aadA2	3502	4303	-
A423	479	aadA22	119	826	-
A450	643	aadA22	1807	2460	-
A475	1015	aadA22	6411	7064	-
A101	512	aadA5	8492	9280	-
A104	1081	aadA5	1692	2480	-
A106	1196	aadA5	517	1305	-
A112	1227	aadA5	3305	4067	+
A116	274	aadA5	959	1747	-
A120	557	aadA5	5559	6347	+
