PLAS	GENE	CLASS	START	END	STARND	strand
A186_chr-33	IS2	IS	4749294	4750624	reverse	-1
A186_chr-33	aln	aln	4750724	4751724	forward	1
A186_chr-35	mdf(A)	Macrolide	4986082	4987314	reverse	-1
A186_chr-35	aln	aln	4987414	4988414	forward	1
A186_p0-0	ISSbo1	IS	92239	93947	forward	1
A186_p0-0	sul2	Sulphonamide	94086	94900	forward	1
A186_p0-0	ISVsa3	IS	95452	96428	reverse	-1
A186_p0-0	floR	Phenicol	97404	98617	reverse	-1
A186_p0-0	ISVsa3	IS	99736	100712	reverse	-1
A186_p0-0	aln	aln	100812	101812	forward	1
A186_p1-0	tet(A)	Tetracycline	5199	6445	reverse	-1
A186_p1-0	blaTEM-1B	Beta-lactam	13662	14522	forward	1
A186_p1-0	strB	Aminoglycoside	15370	16206	reverse	-1
A186_p1-0	strA	Aminoglycoside	16206	17009	reverse	-1
A186_p1-0	IS26	IS	17432	18250	forward	1
A186_p1-0	IS1R	IS	23713	24480	reverse	-1
A186_p1-0	aln	aln	24580	25580	forward	1
A186_p1-4	dfrA17	Trimethoprim	125256	125726	forward	1
A186_p1-4	aadA5	Aminoglycoside	125857	126645	forward	1
A186_p1-4	sul1	Sulphonamide	127165	128031	forward	1
A186_p1-4	IS6100	IS	130203	131082	forward	1
A186_p1-4	mph(A)	Macrolide	133324	134245	reverse	-1
A186_p1-4	IS26	IS	134315	135133	reverse	-1
A186_p1-4	aac(3)-IIa	Aminoglycoside	135177	136037	forward	1
A186_p1-4	IS15DIV	IS	137735	138552	forward	1
A186_p1-4	aln	aln	138652	139652	forward	1
A237_chr-6	IS3	IS	674230	675486	forward	1
A237_chr-6	floR	Phenicol	680497	681710	forward	1
A237_chr-6	tet(A)	Tetracycline	682311	683584	reverse	-1
A237_chr-6	strB	Aminoglycoside	684844	685680	reverse	-1
A237_chr-6	strA	Aminoglycoside	685680	686483	reverse	-1
A237_chr-6	sul2	Sulphonamide	686544	687359	reverse	-1
A237_chr-6	IS1H	IS	689572	690334	forward	1
A237_chr-6	aln	aln	690434	691434	forward	1
A237_chr-45	IS1A	IS	4403879	4404646	reverse	-1
A237_chr-45	mdf(A)	Macrolide	4410721	4411953	reverse	-1
A237_chr-45	aln	aln	4412053	4413053	forward	1
A237_p0-5	aac(3)-IId	Aminoglycoside	99191	100050	forward	1
A237_p0-5	IS26	IS	101132	101951	forward	1
A237_p0-5	aph(3')-Ia	Aminoglycoside	102089	102904	reverse	-1
A237_p0-5	IS26	IS	102992	103811	forward	1
A237_p0-5	sul3	Sulphonamide	105832	106623	forward	1
A237_p0-5	ant(3'')-Ia	Aminoglycoside	108305	109106	reverse	-1
A237_p0-5	cmlA1	Phenicol	109189	110448	reverse	-1
A237_p0-5	aadA2	Aminoglycoside	110710	111511	reverse	-1
A237_p0-5	IS26	IS	113939	114758	forward	1
A237_p0-5	ISCro1	IS	115609	118026	forward	1
A237_p0-5	aln	aln	118126	119126	forward	1
A237_p0-6	tet(A)	Tetracycline	125682	126928	reverse	-1
A237_p0-6	dfrA17	Trimethoprim	130701	131173	forward	1
A237_p0-6	IS26	IS	131770	132589	reverse	-1
A237_p0-6	blaTEM-1B	Beta-lactam	132751	133611	forward	1
A237_p0-6	strB	Aminoglycoside	134460	135297	reverse	-1
A237_p0-6	strA	Aminoglycoside	135297	136101	reverse	-1
A237_p0-6	IS26	IS	136663	137482	forward	1
A237_p0-6	aln	aln	137582	138582	forward	1
A237_p1-0	IS26	IS	63014	63833	forward	1
A237_p1-0	blaCTX-M-15	Beta-lactam	64153	65028	forward	1
A237_p1-0	aadA5	Aminoglycoside	66388	67052	reverse	-1
A237_p1-0	dfrA17	Trimethoprim	67183	67656	reverse	-1
A237_p1-0	IS26	IS	68253	69070	reverse	-1
A237_p1-0	IS26	IS	69961	70780	forward	1
A237_p1-0	fosA3	Fosfomycin	72539	72955	reverse	-1
A237_p1-0	IS26	IS	73278	74097	forward	1
A237_p1-0	mph(A)	Macrolide	74167	75088	forward	1
A237_p1-0	IS10R	IS	78109	79180	reverse	-1
A237_p1-0	aac(3)-IId	Aminoglycoside	79216	80076	forward	1
A237_p1-0	IS26	IS	82705	83523	forward	1
A237_p1-0	aln	aln	83623	84623	forward	1
A251_chr-12	mdf(A)	Macrolide	1669405	1670637	forward	1
A251_chr-12	aln	aln	1670737	1671737	forward	1
A251_p0-0	oqxB	Quinolone	15449	18601	reverse	-1
A251_p0-0	oqxA	Quinolone	18625	19800	reverse	-1
A251_p0-0	sul1	Sulphonamide	24862	25728	forward	1
A251_p0-0	IS26	IS	26221	27039	forward	1
A251_p0-0	dfrA12	Trimethoprim	28036	28533	reverse	-1
A251_p0-0	IS26	IS	28875	29694	forward	1
A251_p0-0	IS26	IS	29909	30728	forward	1
A251_p0-0	sul3	Sulphonamide	32522	33313	forward	1
A251_p0-0	ant(3'')-Ia	Aminoglycoside	34995	35796	reverse	-1
A251_p0-0	cmlA1	Phenicol	35879	37138	reverse	-1
A251_p0-0	aadA2	Aminoglycoside	37400	38201	reverse	-1
A251_p0-0	IS1006	IS	45611	46429	reverse	-1
A251_p0-0	ISVsa3	IS	46430	47274	forward	1
A251_p0-0	floR	Phenicol	48393	49606	forward	1
A251_p0-0	ISVsa3	IS	50582	51558	forward	1
A251_p0-0	sul2	Sulphonamide	52109	52923	reverse	-1
A251_p0-0	ISAba1	IS	52942	54121	forward	1
A251_p0-0	ISEc59	IS	56512	57402	forward	1
A251_p0-0	aph(4)-Ia	Aminoglycoside	57769	58794	reverse	-1
A251_p0-0	aac(3)-IVa	Aminoglycoside	59015	59799	reverse	-1
A251_p0-0	IS26	IS	59850	60669	forward	1
A251_p0-0	blaCTX-M-14	Beta-lactam	60920	61795	forward	1
A251_p0-0	fosA3	Fosfomycin	62407	62823	forward	1
A251_p0-0	IS26	IS	64046	64865	reverse	-1
A251_p0-0	aln	aln	64965	65965	forward	1
A251_p0-1	ISApl1	IS	93071	94140	forward	1
A251_p0-1	mcr-1.1	Colistin	94327	95952	forward	1
A251_p0-1	aln	aln	96052	97052	forward	1
A288_p1-1	MITEKpn1	IS	19783	19890	reverse	-1
A288_p1-1	ISKpn19	IS	19962	22801	forward	1
A288_p1-1	qnrS1	Quinolone	23548	24203	reverse	-1
A288_p1-1	IS26	IS	27091	27908	reverse	-1
A288_p1-1	floR	Phenicol	28974	30187	reverse	-1
A288_p1-1	aac(3)-VIa	Aminoglycoside	37489	38391	reverse	-1
A288_p1-1	ant(3'')-Ia	Aminoglycoside	38555	39522	reverse	-1
A288_p1-1	aln	aln	39622	40622	forward	1
A320_chr-32	mdf(A)	Macrolide	2063258	2064490	forward	1
A320_chr-32	aln	aln	2064590	2065590	forward	1
A320_chr-45	IS5	IS	2924393	2925585	reverse	-1
A320_chr-45	ISApl1	IS	2925653	2926719	reverse	-1
A320_chr-45	mcr-1.1	Colistin	2927514	2929138	reverse	-1
A320_chr-45	ISApl1	IS	2929325	2930391	reverse	-1
A320_chr-45	mcr-1.1	Colistin	2931189	2932814	reverse	-1
A320_chr-45	ISApl1	IS	2932998	2934063	reverse	-1
A320_chr-45	aln	aln	2934163	2935163	forward	1
A329_chr-3	lnu(G)	Macrolide	364940	365743	reverse	-1
A329_chr-3	aln	aln	365843	366843	forward	1
A329_chr-12	IS200C	IS	2697174	2697807	reverse	-1
A329_chr-12	blaCMY-2	Beta-lactam	2698470	2699615	reverse	-1
A329_chr-12	ISEc9	IS	2699732	2701387	reverse	-1
A329_chr-12	IS4	IS	2701454	2702879	reverse	-1
A329_chr-12	IS100kyp	IS	2703523	2705476	reverse	-1
A329_chr-12	ISEc8	IS	2706064	2708505	reverse	-1
A329_chr-12	IS2	IS	2713947	2715277	reverse	-1
A329_chr-12	aln	aln	2715377	2716377	forward	1
A329_chr-13	mdf(A)	Macrolide	2779954	2781186	reverse	-1
A329_chr-13	aln	aln	2781286	2782286	forward	1
A329_p0-1	mcr-1.1	Colistin	118584	120209	reverse	-1
A329_p0-1	ISApl1	IS	120396	121465	reverse	-1
A329_p0-1	IS1S	IS	122350	123117	reverse	-1
A329_p0-1	aln	aln	123217	124217	forward	1
A329_p0-3	IS26	IS	186386	187205	forward	1
A329_p0-3	fosA3	Fosfomycin	188428	188844	reverse	-1
A329_p0-3	blaCTX-M-14	Beta-lactam	189456	190331	reverse	-1
A329_p0-3	IS26	IS	190582	191401	reverse	-1
A329_p0-3	aac(3)-IVa	Aminoglycoside	191452	192236	forward	1
A329_p0-3	aph(4)-Ia	Aminoglycoside	192457	193482	forward	1
A329_p0-3	ISEc59	IS	193849	194739	reverse	-1
A329_p0-3	ISAba1	IS	197131	198310	reverse	-1
A329_p0-3	sul2	Sulphonamide	198329	199144	forward	1
A329_p0-3	ISVsa3	IS	199696	200539	reverse	-1
A329_p0-3	IS1006	IS	200540	201358	forward	1
A329_p0-3	aadA2	Aminoglycoside	208766	209567	forward	1
A329_p0-3	cmlA1	Phenicol	209829	211088	forward	1
A329_p0-3	ant(3'')-Ia	Aminoglycoside	211171	211972	forward	1
A329_p0-3	sul3	Sulphonamide	213654	214445	reverse	-1
A329_p0-3	sul1	Sulphonamide	217587	218453	reverse	-1
A329_p0-3	oqxA	Quinolone	223514	224689	forward	1
A329_p0-3	oqxB	Quinolone	224713	227865	forward	1
A329_p0-3	aln	aln	227965	228965	forward	1
A333_chr-9	IS10L	IS	1002534	1003862	forward	1
A333_chr-9	ISEc33	IS	1006231	1007383	reverse	-1
A333_chr-9	tet(B)	Tetracycline	1009095	1010300	forward	1
A333_chr-9	IS1R	IS	1010725	1011492	forward	1
A333_chr-9	IS26	IS	1017575	1018394	forward	1
A333_chr-9	mef(B)	Macrolide	1018858	1020087	forward	1
A333_chr-9	sul3	Sulphonamide	1021848	1022639	forward	1
A333_chr-9	IS1B	IS	1022782	1023549	forward	1
A333_chr-9	IS1F	IS	1025707	1026474	forward	1
A333_chr-9	aln	aln	1026574	1027574	forward	1
A333_chr-19	IS30	IS	1902195	1903414	forward	1
A333_chr-19	mdf(A)	Macrolide	1910368	1911600	reverse	-1
A333_chr-19	aln	aln	1911700	1912700	forward	1
A333_chr-32	IS26	IS	3272052	3272871	forward	1
A333_chr-32	IS1006	IS	3276724	3277542	reverse	-1
A333_chr-32	ISVsa3	IS	3277543	3278387	forward	1
A333_chr-32	floR	Phenicol	3279506	3280719	forward	1
A333_chr-32	IS903B	IS	3285524	3286580	reverse	-1
A333_chr-32	blaCTX-M-65	Beta-lactam	3286583	3287458	reverse	-1
A333_chr-32	IS26	IS	3292496	3293314	forward	1
A333_chr-32	oqxB	Quinolone	3296542	3299694	reverse	-1
A333_chr-32	oqxA	Quinolone	3299718	3300893	reverse	-1
A333_chr-32	sul1	Sulphonamide	3305955	3306821	forward	1
A333_chr-32	IS26	IS	3307314	3308133	forward	1
A333_chr-32	dfrA12	Trimethoprim	3309130	3309627	reverse	-1
A333_chr-32	IS26	IS	3309969	3310788	forward	1
A333_chr-32	fosA3	Fosfomycin	3312547	3312963	reverse	-1
A333_chr-32	IS26	IS	3313286	3314105	forward	1
A333_chr-32	sul1	Sulphonamide	3321890	3322756	reverse	-1
A333_chr-32	ant(3'')-Ia	Aminoglycoside	3323234	3324035	reverse	-1
A333_chr-32	dfrA1	Trimethoprim	3324118	3324591	reverse	-1
A333_chr-32	IS1B	IS	3327171	3327938	forward	1
A333_chr-32	aln	aln	3328038	3329038	forward	1
A333_p0-0	IS26	IS	20537	21355	forward	1
A333_p0-0	dfrA12	Trimethoprim	22935	23432	forward	1
A333_p0-0	aadA2	Aminoglycoside	23829	24631	forward	1
A333_p0-0	sul1	Sulphonamide	25109	25974	forward	1
A333_p0-0	rmtB	Aminoglycoside	28513	29268	reverse	-1
A333_p0-0	blaTEM-1B	Beta-lactam	29438	30298	reverse	-1
A333_p0-0	ISCfr1	IS	30954	32570	reverse	-1
A333_p0-0	aac(3)-IId	Aminoglycoside	35270	36130	reverse	-1
A333_p0-0	IS26	IS	36300	37119	forward	1
A333_p0-0	ISVsa3	IS	39398	40374	forward	1
A333_p0-0	floR	Phenicol	41492	42704	forward	1
A333_p0-0	tet(A)	Tetracycline	43305	44579	reverse	-1
A333_p0-0	strB	Aminoglycoside	45840	46676	reverse	-1
A333_p0-0	strA	Aminoglycoside	46676	47479	reverse	-1
A333_p0-0	sul2	Sulphonamide	47540	48355	reverse	-1
A333_p0-0	IS26	IS	49799	50618	reverse	-1
A333_p0-0	aln	aln	50718	51718	forward	1
A333_p1-0	IS1X2	IS	60777	61544	reverse	-1
A333_p1-0	tet(M)	Tetracycline	61627	63546	reverse	-1
A333_p1-0	IS26	IS	65112	65932	reverse	-1
A333_p1-0	IS1R	IS	69273	70040	forward	1
A333_p1-0	ant(3'')-Ia	Aminoglycoside	70193	71160	reverse	-1
A333_p1-0	IS26	IS	72587	73406	reverse	-1
A333_p1-0	IS26	IS	73413	74232	reverse	-1
A333_p1-0	mph(A)	Macrolide	76467	77388	reverse	-1
A333_p1-0	IS26	IS	77458	78276	reverse	-1
A333_p1-0	IS26	IS	78274	79093	reverse	-1
A333_p1-0	IS2	IS	83555	84885	reverse	-1
A333_p1-0	IS1A	IS	89785	90552	reverse	-1
A333_p1-0	aln	aln	90652	91652	forward	1
A338_chr-16	mdf(A)	Macrolide	1572135	1573367	forward	1
A338_chr-16	ISKox3	IS	1577625	1578940	forward	1
A338_chr-16	aln	aln	1579040	1580040	forward	1
A338_p0-1	ISApl1	IS	28287	29356	forward	1
A338_p0-1	mcr-1.1	Colistin	29543	31168	forward	1
A338_p0-1	ISApl1	IS	31966	33035	forward	1
A338_p0-1	aln	aln	33135	34135	forward	1
A338_p1-2	tet(A)	Tetracycline	49361	50607	reverse	-1
A338_p1-2	aadA2	Aminoglycoside	57651	58452	reverse	-1
A338_p1-2	dfrA12	Trimethoprim	58850	59347	reverse	-1
A338_p1-2	oqxB	Quinolone	62872	66024	reverse	-1
A338_p1-2	oqxA	Quinolone	66048	67223	reverse	-1
A338_p1-2	mph(A)	Macrolide	70584	71505	reverse	-1
A338_p1-2	IS26	IS	71575	72394	reverse	-1
A338_p1-2	ISCfr1	IS	74540	76157	reverse	-1
A338_p1-2	aac(3)-IId	Aminoglycoside	78857	79717	reverse	-1
A338_p1-2	blaTEM-1B	Beta-lactam	81796	82656	forward	1
A338_p1-2	aln	aln	82756	83756	forward	1
A338_p2-0	sul2	Sulphonamide	1235	2050	reverse	-1
A338_p2-0	IS1S	IS	3119	3886	reverse	-1
A338_p2-0	aln	aln	3986	4986	forward	1
A338_p2-3	ISVsa3	IS	92343	93319	forward	1
A338_p2-3	floR	Phenicol	94438	95651	forward	1
A338_p2-3	aln	aln	95751	96751	forward	1
A351_chr-16	mdf(A)	Macrolide	1922813	1924045	reverse	-1
A351_chr-16	aln	aln	1924145	1925145	forward	1
A351_p0-0	blaTEM-1B	Beta-lactam	5021	5881	reverse	-1
A351_p0-0	tet(A)	Tetracycline	12777	14023	forward	1
A351_p0-0	aln	aln	14123	15123	forward	1
A351_p0-6	IS1R	IS	127952	128719	reverse	-1
A351_p0-6	dfrA1	Trimethoprim	131299	131771	forward	1
A351_p0-6	ant(3'')-Ia	Aminoglycoside	131854	132655	forward	1
A351_p0-6	sul1	Sulphonamide	133133	133999	forward	1
A351_p0-6	aln	aln	134099	135099	forward	1
A376_chr-49	IS1A	IS	3893468	3894235	forward	1
A376_chr-49	IS1A	IS	3897941	3898708	reverse	-1
A376_chr-49	IS1S	IS	3899139	3899906	reverse	-1
A376_chr-49	mdf(A)	Macrolide	3900482	3901714	reverse	-1
A376_chr-49	aln	aln	3901814	3902814	forward	1
A376_p0-0	blaTEM-1B	Beta-lactam	135	994	reverse	-1
A376_p0-0	oqxB	Quinolone	3258	6405	reverse	-1
A376_p0-0	oqxA	Quinolone	6429	7604	reverse	-1
A376_p0-0	qnrS1	Quinolone	13612	14268	forward	1
A376_p0-0	ISKpn19	IS	14517	17367	reverse	-1
A376_p0-0	aln	aln	17467	18467	forward	1
A376_p1-0	dfrA12	Trimethoprim	1	483	forward	1
A376_p1-0	aadA2	Aminoglycoside	881	1682	forward	1
A376_p1-0	oqxA	Quinolone	4289	5461	forward	1
A376_p1-0	oqxB	Quinolone	5484	8634	forward	1
A376_p1-0	blaTEM-1A	Beta-lactam	10900	11760	forward	1
A376_p1-0	sul2	Sulphonamide	11922	12737	forward	1
A376_p1-0	strA	Aminoglycoside	12798	13601	forward	1
A376_p1-0	strB	Aminoglycoside	13601	14437	forward	1
A376_p1-0	tet(A)	Tetracycline	15674	16948	forward	1
A376_p1-0	floR	Phenicol	17549	18762	reverse	-1
A376_p1-0	ISVsa3	IS	19881	20857	reverse	-1
A376_p1-0	IS26	IS	23134	23953	reverse	-1
A376_p1-0	IS4321R	IS	26032	27358	reverse	-1
A376_p1-0	IS26	IS	34763	35582	forward	1
A376_p1-0	aln	aln	35682	36682	forward	1
A376_p2-0	blaTEM-1B	Beta-lactam	50980	51839	forward	1
A376_p2-0	rmtB	Aminoglycoside	52009	52764	forward	1
A376_p2-0	IS26	IS	53948	54767	reverse	-1
A376_p2-0	blaNDM-5	Beta-lactam	55263	56075	forward	1
A376_p2-0	sul1	Sulphonamide	60388	61254	reverse	-1
A376_p2-0	aadA2	Aminoglycoside	61732	62533	reverse	-1
A376_p2-0	dfrA12	Trimethoprim	62931	63428	reverse	-1
A376_p2-0	IS26	IS	64442	65260	reverse	-1
A376_p2-0	aln	aln	65360	66360	forward	1
A382_chr-31	mdf(A)	Macrolide	3435477	3436709	reverse	-1
A382_chr-31	aln	aln	3436809	3437809	forward	1
A382_p0-2	ISSbo1	IS	85479	87187	forward	1
A382_p0-2	sul2	Sulphonamide	87326	88141	forward	1
A382_p0-2	ISVsa3	IS	88693	89667	reverse	-1
A382_p0-2	floR	Phenicol	90643	91856	reverse	-1
A382_p0-2	ISVsa3	IS	92975	93951	reverse	-1
A382_p0-2	aln	aln	94051	95051	forward	1
A382_p1-1	ISKox3	IS	39144	40459	reverse	-1
A382_p1-1	IS26	IS	41074	41893	reverse	-1
A382_p1-1	blaNDM-1	Beta-lactam	44082	44894	reverse	-1
A382_p1-1	aln	aln	44994	45994	forward	1
A382_p2-2	IS1A	IS	68169	68936	forward	1
A382_p2-2	IS2	IS	73430	74768	reverse	-1
A382_p2-2	aac(3)-IId	Aminoglycoside	77505	78365	forward	1
A382_p2-2	ISCfr1	IS	81065	82682	forward	1
A382_p2-2	IS26	IS	84828	85648	forward	1
A382_p2-2	mph(A)	Macrolide	85718	86639	forward	1
A382_p2-2	IS6100	IS	88881	89760	reverse	-1
A382_p2-2	tet(A)	Tetracycline	93636	94882	forward	1
A382_p2-2	aln	aln	94982	95982	forward	1
A382_p2-4	blaTEM-1B	Beta-lactam	125597	126457	forward	1
A382_p2-4	aln	aln	126557	127557	forward	1
A409_chr-47	IS10L	IS	4367691	4369018	reverse	-1
A409_chr-47	IS10L	IS	4376499	4377827	reverse	-1
A409_chr-47	mdf(A)	Macrolide	4379823	4381055	forward	1
A409_chr-47	aln	aln	4381155	4382155	forward	1
A409_p1-1	IS1A	IS	25852	26628	forward	1
A409_p1-1	ISEc32	IS	31250	32429	reverse	-1
A409_p1-1	qnrS2	Quinolone	37483	38139	forward	1
A409_p1-1	IS26	IS	38976	39794	reverse	-1
A409_p1-1	aac(6')-Ib-cr	Aminoglycoside	40723	41322	forward	1
A409_p1-1	blaOXA-1	Beta-lactam	41453	42283	forward	1
A409_p1-1	catB3	Phenicol	42421	43053	forward	1
A409_p1-1	ARR-3	Rifampicin	43101	43590	forward	1
A409_p1-1	IS26	IS	44400	45218	reverse	-1
A409_p1-1	aph(3')-Ia	Aminoglycoside	46575	47390	reverse	-1
A409_p1-1	aln	aln	47490	48490	forward	1
A409_p1-2	IS903B	IS	68900	69956	reverse	-1
A409_p1-2	ISVsa3	IS	76336	77312	forward	1
A409_p1-2	floR	Phenicol	78431	79644	forward	1
A409_p1-2	aln	aln	79744	80744	forward	1
A409_p1-3	dfrA17	Trimethoprim	132341	132814	forward	1
A409_p1-3	IS26	IS	133318	134137	reverse	-1
A409_p1-3	ISCfr1	IS	136283	137900	reverse	-1
A409_p1-3	aac(3)-IId	Aminoglycoside	140600	141460	reverse	-1
A409_p1-3	tet(A)	Tetracycline	144514	145760	reverse	-1
A409_p1-3	strB	Aminoglycoside	147066	147902	reverse	-1
A409_p1-3	strA	Aminoglycoside	147902	148705	reverse	-1
A409_p1-3	sul2	Sulphonamide	148766	149581	reverse	-1
A409_p1-3	blaTEM-1B	Beta-lactam	149826	150686	reverse	-1
A409_p1-3	aln	aln	150786	151786	forward	1
A412_chr-4	IS10R	IS	598350	599678	forward	1
A412_chr-4	tet(B)	Tetracycline	600885	602090	reverse	-1
A412_chr-4	IS10L	IS	606168	607496	reverse	-1
A412_chr-4	IS3	IS	610287	611544	forward	1
A412_chr-4	IS100kyp	IS	619221	621174	forward	1
A412_chr-4	aln	aln	621274	622274	forward	1
A412_chr-9	ISKpn26	IS	1063463	1064657	reverse	-1
A412_chr-9	IS3	IS	1068535	1069791	forward	1
A412_chr-9	IS1R	IS	1070794	1071561	forward	1
A412_chr-9	ant(3'')-Ia	Aminoglycoside	1071714	1072681	reverse	-1
A412_chr-9	IS26	IS	1074163	1074982	reverse	-1
A412_chr-9	aac(3)-IId	Aminoglycoside	1075038	1075898	forward	1
A412_chr-9	ISCfr1	IS	1078598	1080215	forward	1
A412_chr-9	tet(M)	Tetracycline	1082874	1084793	reverse	-1
A412_chr-9	IS26	IS	1086028	1086847	forward	1
A412_chr-9	aln	aln	1086947	1087947	forward	1
A412_chr-11	IS1S	IS	1247367	1248134	forward	1
A412_chr-11	ant(3'')-Ia	Aminoglycoside	1248287	1249088	reverse	-1
A412_chr-11	IS15DII	IS	1250982	1251683	forward	1
A412_chr-11	IS10L	IS	1251684	1253012	reverse	-1
A412_chr-11	IS5075	IS	1254917	1256241	forward	1
A412_chr-11	sul2	Sulphonamide	1256674	1257489	forward	1
A412_chr-11	strA	Aminoglycoside	1257550	1258353	forward	1
A412_chr-11	strB	Aminoglycoside	1258353	1259189	forward	1
A412_chr-11	blaTEM-1B	Beta-lactam	1259910	1260770	reverse	-1
A412_chr-11	IS26	IS	1261804	1262623	reverse	-1
A412_chr-11	aln	aln	1262723	1263723	forward	1
A412_chr-17	mdf(A)	Macrolide	1635428	1636660	forward	1
A412_chr-17	aln	aln	1636760	1637760	forward	1
A412_chr-34	blaTEM-1B	Beta-lactam	3761904	3762764	reverse	-1
A412_chr-34	IS1R	IS	3766706	3767323	forward	1
A412_chr-34	IS5075	IS	3767404	3768730	reverse	-1
A412_chr-34	IS1353	IS	3776048	3777661	reverse	-1
A412_chr-34	IS1326	IS	3777659	3780105	forward	1
A412_chr-34	sul1	Sulphonamide	3780842	3781707	reverse	-1
A412_chr-34	dfrA1	Trimethoprim	3782784	3783257	reverse	-1
A412_chr-34	catB3	Phenicol	3783326	3783958	reverse	-1
A412_chr-34	catA1	Phenicol	3790634	3791247	reverse	-1
A412_chr-34	IS1R	IS	3791248	3792015	forward	1
A412_chr-34	aln	aln	3792115	3793115	forward	1
A412_p0-0	ISApl1	IS	23504	24573	forward	1
A412_p0-0	mcr-1.1	Colistin	24760	26385	forward	1
A412_p0-0	aln	aln	26485	27485	forward	1
A412_p0-4	aadA2	Aminoglycoside	204183	204984	forward	1
A412_p0-4	cmlA1	Phenicol	205246	206505	forward	1
